a,c,k
1,1,1
2,8,4
3,27,9
4,64,16
5,125,25
6,216,36
7,343,49
8,512,64
9,729,81
10,1000,100
11,1331,121
12,1728,144
13,2197,169
14,2744,196
15,3375,225
16,4096,256
17,4913,289
18,5832,324
19,6859,361
20,8000,400
21,9261,441
22,10648,484
23,12167,529
24,13824,576
25,15625,625
26,17576,676
27,19683,729
28,21952,784
29,24389,841
30,27000,900
31,29791,961
32,32768,1024
33,35937,1089
34,39304,1156
35,42875,1225
36,46656,1296
37,50653,1369
38,54872,1444
39,59319,1521
40,64000,1600
41,68921,1681
42,74088,1764
43,79507,1849
44,85184,1936
45,91125,2025
46,97336,2116
47,103823,2209
48,110592,2304
49,117649,2401
50,125000,2500
51,132651,2601
52,140608,2704
53,148877,2809
54,157464,2916
55,166375,3025
56,175616,3136
57,185193,3249
58,195112,3364
59,205379,3481
60,216000,3600
61,226981,3721
62,238328,3844
63,250047,3969
64,262144,4096
65,274625,4225
66,287496,4356
67,300763,4489
68,314432,4624
69,328509,4761
70,343000,4900
71,357911,5041
72,373248,5184
73,389017,5329
74,405224,5476
75,421875,5625
76,438976,5776
77,456533,5929
78,474552,6084
79,493039,6241
80,512000,6400
81,531441,6561
82,551368,6724
83,571787,6889
84,592704,7056
85,614125,7225
86,636056,7396
87,658503,7569
88,681472,7744
89,704969,7921
90,729000,8100
91,753571,8281
92,778688,8464
93,804357,8649
94,830584,8836
95,857375,9025
96,884736,9216
97,912673,9409
98,941192,9604
99,970299,9801
100,1000000,10000
