YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201512,101377,606556,1,10.42,"WNW","VAITOGI",-14.3244,-170.8347,-1419464,17050082
201512,101377,606556,2,3.81,"NE","PAGO PAGO",-14.2578,-170.5634,-1415468,17033804
201512,101377,606560,1,0,"N","OFU",-14.2,-169.7,-1412000,16942000
201512,101377,606560,2,0,"N","TA'U",-14.3,-169.5,-1418000,16930000
201512,101382,606604,1,.9,"NE","HOMER",32.79,-93.06,3247400,933600
201512,100995,612634,1,3.23,"ENE","SHINGLETOWN ARPT",40.53,-121.76,4031800,12145600
201512,100995,612635,1,1.71,"WNW","SIMS",41.06,-122.36,413600,12221600
201512,100996,612627,1,.69,"S","EAST QUINCY",39.92,-120.9,3955200,12054000
201512,100997,604364,1,2.75,"NNW","WILLIS",30.4561,-95.4994,3027366,9529964
201512,100997,604364,2,4.74,"N","WILLIS",30.4879,-95.4917,3029274,9529502
201512,100998,609256,1,2.82,"N","EAGLE POINT",29.54,-94.9109,2932400,9454654
201512,100998,609257,1,25.04,"WSW","SARGENT",28.5911,-95.9826,2835466,9558956
201512,100998,609259,1,3.57,"SW","GALVESTON",29.2586,-94.8555,2915516,9451330
201512,101037,612636,1,.69,"S","PACIFIC",38.76,-120.5,3845600,12030000
201512,101071,604748,1,1.85,"N","RED OAK",41.0463,-95.2364,412778,9514184
201512,101071,604748,2,2.1,"SSW","RED OAK MUNI ARPT",40.9903,-95.2583,4059418,9515498
201512,101071,604748,3,1.92,"SSW","RED OAK",40.9929,-95.2377,4059574,9514262
201512,101071,604748,4,1.68,"N","RED OAK",41.0442,-95.2274,412652,9513644
201512,101071,604754,1,1.93,"N","HANCOCK",41.4278,-95.3675,4125668,9522050
201512,101071,604754,2,1.52,"NNW","OAKLAND",41.3392,-95.4142,4120352,9524852
201512,101071,604754,3,1.13,"NNE","OAKLAND",41.3353,-95.3922,4120118,9523532
201512,101071,604754,4,.59,"SSE","HANCOCK",41.3928,-95.3641,4123568,9521846
201512,101071,604754,5,2.59,"NNE","HANCOCK",41.4325,-95.3452,4125950,9520712
201512,101071,608002,1,1.97,"NNW","RANDOLPH",40.8954,-95.5872,4053724,9535232
201512,101071,608002,2,2.12,"SW","RANDOLPH",40.845,-95.5934,4050700,9535604
201512,101071,608002,3,2.11,"SSW","RANDOLPH",40.8401,-95.5783,4050406,9534698
201512,101071,608002,4,.38,"NW","RANDOLPH",40.8736,-95.5756,4052416,9534536
201512,101071,608002,5,1.65,"N","RANDOLPH",40.8937,-95.5742,4053622,9534452
201512,101071,608003,1,3.46,"SW","RIVERTON",40.6468,-95.6195,4038808,9537170
201512,101071,608003,2,.82,"N","RIVERTON",40.6919,-95.5714,4041514,9534284
201512,101071,608003,3,3.15,"NE","RIVERTON",40.7137,-95.5296,4042822,9531776
201512,101071,608003,4,2.71,"NW","RIVERTON",40.7114,-95.601,4042684,9536060
201512,101071,608003,5,3.46,"WSW","RIVERTON",40.6588,-95.6298,4039528,9537788
201512,101071,608005,1,3.57,"NNE","HAMBURG",40.6505,-95.6353,4039030,9538118
201512,101071,608005,2,.44,"NNW","HAMBURG REIDS ARPT",40.5859,-95.6532,4035154,9539192
201512,101071,608005,3,1.12,"ENE","HAMBURG REIDS ARPT",40.5858,-95.6302,4035148,9537812
201512,101071,608005,4,2.59,"NE","HAMBURG",40.6275,-95.6164,4037650,9536984
201512,101071,608005,5,3.49,"SW","RIVERTON",40.6468,-95.6202,4038808,9537212
201503,92618,554995,2,.44,"S","(CRW) YEAGER ARPT",38.3637,-81.5988,3821822,8135928
201503,92618,554995,3,.72,"SW","(CRW) YEAGER ARPT",38.3641,-81.6111,3821846,8136666
201503,92618,554995,4,.52,"WSW","(CRW) YEAGER ARPT",38.367,-81.6089,3822020,8136534
201503,92618,554995,5,.15,"SSW","(CRW) YEAGER ARPT",38.3679,-81.6009,3822074,8136054
201503,92618,554995,6,.36,"SE","(CRW) YEAGER ARPT",38.3666,-81.595,3821996,8135700
201503,92618,554995,7,.82,"SSE","(CRW) YEAGER ARPT",38.3595,-81.5928,3821570,8135568
201503,92618,555241,1,.15,"SW","(CRW) YEAGER ARPT",38.3687,-81.6021,3822122,8136126
201503,92618,555241,2,.19,"WSW","(CRW) YEAGER ARPT",38.3687,-81.603,3822122,8136180
201503,92618,555241,3,.25,"SW","(CRW) YEAGER ARPT",38.367,-81.6027,3822020,8136162
201503,92618,555241,4,.24,"SSW","(CRW) YEAGER ARPT",38.3668,-81.6019,3822008,8136114
201503,92618,555241,5,.18,"SSW","(CRW) YEAGER ARPT",38.3677,-81.6014,3822062,8136084
201503,92636,555247,1,.68,"NNW","HANGING ROCK",38.5584,-82.7265,3833504,8243590
201503,92636,555247,2,0,"NNW","PEDRO",38.63,-82.67,3837800,8240200
201503,92636,555247,3,0,"NNW","WATERLOO",38.7,-82.47,3842000,8228200
201503,92636,555247,4,0,"NNW","SCOTTOWN",38.55,-82.38,3833000,8222800
201503,92636,555247,5,.86,"NNE","MILLER",38.5421,-82.2965,3832526,8217790
201503,92636,555247,6,1.11,"ESE","ROME",38.4442,-82.3309,3826652,8219854
201503,92636,555247,7,.53,"SSW","NORTH KENOVA",38.4127,-82.5829,3824762,8234974
201503,92636,555247,8,0,"SSW","SHERIDAN",38.47,-82.6,3828200,8236000
201503,92636,555248,1,.89,"WSW","LANGSVILLE",39.0437,-82.1946,392622,8211676
201503,92636,555248,2,1,"NW","PAGEVILLE",39.1802,-82.1632,3910812,829792
201504,93137,564716,3,.46,"N","ELK CREEK",38.1066,-85.3702,386396,8522212
201504,93137,564716,4,.3,"NE","ELK CREEK",38.1036,-85.3669,386216,8522014
201504,93137,564717,1,8.29,"SSW","WAYNESBURG",37.2242,-84.7511,3713452,8445066
201504,93137,564717,2,7.83,"SSW","WAYNESBURG",37.2266,-84.7386,3713596,8444316
201504,93137,564717,3,7.61,"SSW","WAYNESBURG",37.2326,-84.7448,3713956,8444688
201504,93137,564717,4,7.97,"SSW","WAYNESBURG",37.2317,-84.7558,3713902,8445348
201504,93137,564718,1,3.72,"WNW","HAYSVILLE",37.926,-86.3098,3755560,8618588
201504,93137,564718,2,3.22,"WNW","HAYSVILLE",37.9201,-86.3033,3755206,8618198
201504,93137,564718,3,3.01,"NW","HAYSVILLE",37.9246,-86.2955,3755476,8617730
201504,93137,564718,4,3.56,"SSE","PAYNEVILLE",37.9299,-86.3047,3755794,8618282
201504,93137,564719,1,.58,"NE","CENTERFIELD",38.3549,-85.3913,3821294,8523478
201504,93137,564719,2,.46,"WNW","WORTH",38.3519,-85.3882,3821114,8523292
201504,93137,564719,3,.39,"N","WORTH",38.3556,-85.3802,3821336,8522812
201504,93137,564719,4,.61,"NW","WORTH",38.3563,-85.3879,3821378,8523274
